id,document_number,title,url,legal_type,legal_sectors,issuing_authority,issuance_date,signers
21798,1666-BYT-NĐ,Nghị định 1666-BYT-NĐ năm 1956 về việc thành lập một Hội đồng cố vấn y học tại Bộ Y tế do Bộ trưởng Bộ Y Tế ban hành.,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-1666-BYT-ND-thanh-lap-mot-Hoi-dong-co-van-y-hoc-tai-Bo-Y-te-21798.aspx,Nghị định,Thể thao - Y tế,Bộ Y tế,,Hoàng Tích Trí:163
21494,273-TTg,Nghị định 273-TTg năm 1957 về việc thành lập Viện chống lao trực thuộc Bộ Y tế do Thủ Tướng Chính Phủ ban hành,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-273-TTg-thanh-lap-Vien-chong-lao-truc-thuoc-Bo-Y-te-21494.aspx,Nghị định,Thể thao - Y tế,Thủ tướng Chính phủ,,Phan Kế Toại:601
138500,38/2012/NĐ-CP,Nghị định 38/2012/NĐ-CP hướng dẫn Luật an toàn thực phẩm,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-38-2012-ND-CP-huong-dan-Luat-an-toan-thuc-pham-138500.aspx,Nghị định,Thể thao - Y tế,Chính phủ,,Nguyễn Tấn Dũng:436
60895,188/2007/NĐ-CP,"Nghị định 188/2007/NĐ-CP quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Y tế",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-dinh-188-2007-ND-CP-chuc-nang-nhiem-vu-quyen-han-co-cau-to-chuc-cua-Bo-Y-te-60895.aspx,Nghị định,"Bộ máy hành chính, Thể thao - Y tế",Chính phủ,,Nguyễn Tấn Dũng:436
363349,89/2018/NĐ-CP,"Nghị định 89/2018/NĐ-CP hướng dẫn Luật phòng, chống bệnh truyền nhiễm về kiểm dịch y tế biên giới",https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-89-2018-ND-CP-huong-dan-Luat-phong-chong-benh-truyen-nhiem-ve-kiem-dich-y-te-bien-gioi-363349.aspx,Nghị định,Thể thao - Y tế,Chính phủ,,Nguyễn Xuân Phúc:1849
509618,75/2023/NĐ-CP,Nghị định 75/2023/NĐ-CP sửa đổi Nghị định 146/2018/NĐ-CP hướng dẫn Luật Bảo hiểm y tế,https://thuvienphapluat.vn/van-ban/Bao-hiem/Nghi-dinh-75-2023-ND-CP-sua-doi-Nghi-dinh-146-2018-ND-CP-huong-dan-Luat-Bao-hiem-y-te-509618.aspx,Nghị định,"Bảo hiểm, Thể thao - Y tế",Chính phủ,,Trần Hồng Hà:1381
425470,24/2020/NĐ-CP,"Nghị định 24/2020/NĐ-CP hướng dẫn Luật Phòng, chống tác hại của rượu, bia",https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-24-2020-ND-CP-huong-dan-Luat-phong-chong-tac-hai-cua-ruou-bia-425470.aspx,Nghị định,"Thể thao - Y tế, Văn hóa - Xã hội",Chính phủ,,Nguyễn Xuân Phúc:1849
149723,85/2012/NĐ-CP,"Nghị định 85/2012/NĐ-CP về cơ chế hoạt động, tài chính đối với đơn vị sự nghiệp y tế công lập và giá dịch vụ khám, chữa bệnh của cơ sở khám, chữa bệnh công lập",https://thuvienphapluat.vn/van-ban/Tai-chinh-nha-nuoc/Nghi-dinh-85-2012-ND-CP-co-che-hoat-dong-tai-chinh-doi-voi-don-vi-su-nghiep-y-te-149723.aspx,Nghị định,"Tài chính nhà nước, Thể thao - Y tế",Chính phủ,,Nguyễn Tấn Dũng:436
460767,93/2021/NĐ-CP,"Nghị định 93/2021/NĐ-CP về vận động, tiếp nhận, phân phối và sử dụng các nguồn đóng góp tự nguyện hỗ trợ khắc phục khó khăn do thiên tai, dịch bệnh, sự cố; hỗ trợ bệnh nhân mắc bệnh hiểm nghèo",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-dinh-93-2021-ND-CP-phan-phoi-su-dung-nguon-dong-gop-tu-nguyen-ho-tro-thien-tai-dich-benh-460767.aspx,Nghị định,"Tài nguyên - Môi trường, Thể thao - Y tế, Văn hóa - Xã hội",Chính phủ,,Lê Minh Khái:2090
538720,95/2022/NĐ-CP,"Nghị định 95/2022/NĐ-CP quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Y tế",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-dinh-95-2022-ND-CP-chuc-nang-nhiem-vu-quyen-han-co-cau-to-chuc-cua-Bo-Y-te-538720.aspx,Nghị định,"Bộ máy hành chính, Thể thao - Y tế",Chính phủ,,Phạm Bình Minh:1810
499187,124/2021/NĐ-CP,Nghị định 124/2021/NĐ-CP sửa đổi Nghị định 115/2018/NĐ-CP quy định xử phạt vi phạm hành chính về an toàn thực phẩm và Nghị định 117/2020/NĐ-CP quy định xử phạt vi phạm hành chính trong lĩnh vực y tế,https://thuvienphapluat.vn/van-ban/Vi-pham-hanh-chinh/Nghi-dinh-124-2021-ND-CP-sua-doi-Nghi-dinh-115-2018-ND-CP-va-117-2020-ND-CP-499187.aspx,Nghị định,"Vi phạm hành chính, Thể thao - Y tế",Chính phủ,,Vũ Đức Đam:1582
23308,111-CP,Nghị định 111-CP năm 1973 về chính sách đối với cán bộ y tế xã bị thương hoặc hy sinh trong khi làm nhiệm vụ cấp cứu phòng không do Hội đồng Chính phủ ban hành,https://thuvienphapluat.vn/van-ban/Lao-dong-Tien-luong/Nghi-Dinh-111-CP-chinh-sach-can-bo-y-te-xa-bi-thuong-hoac-hy-sinh-trong-khi-lam-nhiem-vu-cap-cuu-phong-khong-23308.aspx,Nghị định,"Lao động - Tiền lương, Thể thao - Y tế",Hội đồng Chính phủ,,Lê Thanh Nghị:247
22950,59-CP,"Nghị định 59-CP năm 1960 quy định khoản phụ cấp cho cán bộ, nhân viên y tế làm việc trong điều kiện dễ bị truyền nhiễm và có hại sức khỏe do Hội Đồng Chính Phủ ban hành.",https://thuvienphapluat.vn/van-ban/Lao-dong-Tien-luong/Nghi-dinh-59-CP-quy-dinh-khoan-phu-cap-cho-can-bo-nhan-vien-y-te-lam-viec-trong-dieu-kien-de-bi-truyen-nhiem-va-co-hai-suc-khoe-22950.aspx,Nghị định,"Lao động - Tiền lương, Thể thao - Y tế",Hội đồng Chính phủ,,Phạm Văn Đồng:592
19793,110-CP,Nghị định 110-CP năm 1962 về điều lệ tạm thời về “chế độ rèn luyện thân thể theo tiêu chuẩn” do Hội đồng Chính phủ ban hành,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-110-CP-dieu-le-tam-thoi-che-do-ren-luyen-than-the-theo-tieu-chuan-19793.aspx,Nghị định,Thể thao - Y tế,Hội đồng Chính phủ,,Phạm Văn Đồng:592
352896,75/2017/NĐ-CP,"Nghị định 75/2017/NĐ-CP quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Y tế",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-dinh-75-2017-ND-CP-chuc-nang-nhiem-vu-quyen-han-co-cau-to-chuc-Bo-Y-te-352896.aspx,Nghị định,"Bộ máy hành chính, Thể thao - Y tế",Chính phủ,,Nguyễn Xuân Phúc:1849
265320,11/2015/NĐ-CP,Nghị định 11/2015/NĐ-CP Quy định về giáo dục thể chất và hoạt động thể thao trong nhà trường,https://thuvienphapluat.vn/van-ban/Giao-duc/Nghi-dinh-11-2015-ND-CP-giao-duc-the-chat-hoat-dong-the-thao-trong-nha-truong-265320.aspx,Nghị định,"Giáo dục, Thể thao - Y tế",Chính phủ,,Nguyễn Tấn Dũng:436
258232,105/2014/NĐ-CP,Nghị định 105/2014/NĐ-CP hướng dẫn Luật Bảo hiểm y tế,https://thuvienphapluat.vn/van-ban/Bao-hiem/Nghi-dinh-105-2014-ND-CP-huong-dan-Luat-Bao-hiem-y-te-258232.aspx,Nghị định,"Bảo hiểm, Thể thao - Y tế",Chính phủ,,Nguyễn Tấn Dũng:436
213917,176/2013/NĐ-CP,Nghị định 176/2013/NĐ-CP quy định xử phạt vi phạm hành chính trong lĩnh vực y tế,https://thuvienphapluat.vn/van-ban/Vi-pham-hanh-chinh/Nghi-dinh-176-2013-ND-CP-quy-dinh-xu-phat-vi-pham-hanh-chinh-trong-linh-vuc-y-te-213917.aspx,Nghị định,"Vi phạm hành chính, Thể thao - Y tế",Chính phủ,,Nguyễn Tấn Dũng:436
138491,37/2012/NĐ-CP,"Nghị định 37/2012/NĐ-CP quy định về xử phạt vi phạm hành chính trong lĩnh vực thể dục, thể thao",https://thuvienphapluat.vn/van-ban/Vi-pham-hanh-chinh/Nghi-dinh-37-2012-ND-CP-xu-phat-vi-pham-hanh-chinh-138491.aspx,Nghị định,"Vi phạm hành chính, Thể thao - Y tế",Chính phủ,,Nguyễn Tấn Dũng:436
129652,87/2011/NĐ-CP,"Nghị định 87/2011/NĐ-CP hướng dẫn Luật Khám, chữa bệnh",https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-87-2011-ND-CP-huong-dan-Luat-Kham-benh-chua-benh-129652.aspx,Nghị định,Thể thao - Y tế,Chính phủ,,Nguyễn Tấn Dũng:436
130603,93/2011/NĐ-CP,"Nghị định 93/2011/NĐ-CP quy định xử phạt vi phạm hành chính về thuốc, mỹ phẩm và trang thiết bị y tế",https://thuvienphapluat.vn/van-ban/Vi-pham-hanh-chinh/Nghi-dinh-93-2011-ND-CP-xu-phat-vi-pham-hanh-chinh-thuoc-my-pham-130603.aspx,Nghị định,"Vi phạm hành chính, Thể thao - Y tế",Chính phủ,,Nguyễn Tấn Dũng:436
82194,119/2008/NĐ-CP,Nghị định 119/2008/NĐ-CP sửa đổi Nghị định 33/2005/NĐ-CP Hướng dẫn Pháp lệnh Thú y,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Nghi-dinh-119-2008-ND-CP-huong-dan-Phap-lenh-Thu-y-sua-doi-Nghi-dinh-33-2005-ND-CP-82194.aspx,Nghị định,Thể thao - Y tế,Chính phủ,,Nguyễn Tấn Dũng:436
686867,343/2025/NĐ-CP,"Nghị định 343/2025/NĐ-CP quy định chế độ an điều dưỡng, chăm sóc khi mắc bệnh hiểm nghèo, chế độ thông tin, hỗ trợ tang lễ khi từ trần đối với sĩ quan Quân đội nghỉ hưu",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-dinh-343-2025-ND-CP-che-do-an-dieu-duong-khi-mac-benh-hiem-ngheo-si-quan-Quan-doi-nghi-huu-686867.aspx,Nghị định,"Bộ máy hành chính, Thể thao - Y tế",Chính phủ,,Phạm Minh Chính:5904
